"g","tau_d","tau_r","tau_f","U"
5.662,2.818,801.431436292135,47.2013170674157,0.361173367078652
3.29612,3.6,801.431436292135,47.2013170674157,0.361173367078652
3.65636,2.377,801.431436292135,47.2013170674157,0.361173367078652
6.38628,1.835,801.431436292135,47.2013170674157,0.361173367078652
4.01432,3.41,801.431436292135,47.2013170674157,0.361173367078652
7.94352,4.127,801.472313820224,47.2000925955056,0.361167153932584
3.55148,2.407,801.595337303371,47.1980266179775,0.361146472921348
1.89316,14.812,801.472313820224,47.2000925955056,0.361167153932584
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,801.487485168539,47.199705741573,0.361164775730337
19.585536,1.498,2544.36356067416,90.5941158988764,0.144929197865169
2.88806,14.725,2544.42463932584,90.5928701460674,0.144919516438202
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502,57.7423674719101,128.162509089888,0.38628201011236
4.145073,2.207,50.749,123.284,0.349
5.476632,1.13,50.222,7.412,0.028
6.73548,0.645,415.81614505618,91.5909998651685,0.284065921910112
9.947043,0.915,350.586209775281,112.680978629214,0.297188484044944
0.979906,4.636,105.568,183.335,0.107
0.8,5.449,130.318156033708,244.02528505618,0.131400325078652
2.08421,2.844,93.0619468764045,245.095448876405,0.242246953820225
0.458838,2.282,88.742,38.634,0.261
0.02037,12.738,59.757,224.138,0.21
0.41033,4.081,93.0783033483146,245.188246966292,0.242114607303371
0.48507,3.02,93.0783033483146,245.188246966292,0.242114607303371
0.33078,4.054,93.0783033483146,245.188246966292,0.242114607303371
1.140768,1.997,63.962,80.992,0.072
0.677202,3.157,1965.065,5.964,0.059
0.153309,5.042,2098.692,124.45,0.039
0.27783,9.982,2129.75341235955,44.3912560112359,0.050695097741573
0.20223,9.789,2129.7476,44.4586477752809,0.0506197121011236
0.4416,9.101,2129.7476,44.4586477752809,0.0506197121011236
0.3792,16.139,2129.7476,44.4586477752809,0.0506197121011236
1.377824,2.031,241.356,50.302,0.224
0.837706,2.868,99.783,29.772,0.046
0.0892,9.741,2129.2961505618,44.5077210674157,0.0505520764382023
4.987008,1.306,2841.30775280899,298.291996966292,0.131931140764045
7.880004,0.745,2477.269,295.652,0.081
3.98055,2.127,2841.30775280899,298.291996966292,0.131931140764045
5.62445,2.2,2841.30775280899,298.291996966292,0.131931140764045
4.88665,0.997,2840.88012808989,298.291214044944,0.131884493775281
4.84925,1.118,2841.57657303371,298.28819764045,0.132028086280899
3.8828,1.24,2841.19847191011,298.27238741573,0.132221318977528
0.484515,16.22,1704.8100741573,61.3749792247191,0.270862466629213
0.74124,11.424,1704.8100741573,61.3749792247191,0.270862466629213
0.69174,19.998,1612.531,3.045,0.27
12.24508,0.429,1717.53,1.557,0.428
12.24508,0.429,1717.53,1.557,0.428
3.458133,1.791,122.872,274.981,0.399
10.6516,0.908,50.028,296.985,0.775
12.299294,1,671.035,146.653,0.686
