g,tau_d,tau_r,tau_f,U
5.662000000000001,2.8179999999999996,812.6085256,39.586666744,0.39155132920000024
3.2961199999999997,3.6,812.6085256,39.586666744,0.39155132920000024
3.65636,2.377,812.6085256,39.586666744,0.39155132920000024
6.38628,1.835,812.6085256,39.586666744,0.39155132920000024
4.01432,3.41,812.6085256,39.586666744,0.39155132920000024
7.9435199999999995,4.127,812.61977144,39.582694616,0.3915572029600001
3.55148,2.407,812.6568287999997,39.572392583999964,0.39157321368
1.89316,14.812000000000001,812.61977144,39.582694616,0.3915572029600001
6.095661,1.31,50.035,1.801,0.429
8.304687,1.689,812.6240799999996,39.581292984,0.3915593084799999
19.585535999999998,1.4980000000000002,2483.0478056,49.58916117600002,0.11242748864800008
2.88806,14.725000000000001,2483.1467496,49.58845395200002,0.112416625856
10.775985,8.575,2995.724,103.475,0.055
2.346651,5.502000000000002,63.79919871199998,102.60475899199997,0.36647193368
4.145073,2.207,50.749,123.28399999999999,0.349
5.476632,1.13,50.222,7.412000000000001,0.027999999999999997
6.735479999999999,0.645,684.7208562399999,58.281012344000004,0.3436246547199999
9.947042999999999,0.915,636.6206485600001,67.93971187999998,0.34451604679999986
0.9799059999999999,4.636,105.568,183.335,0.107
0.8,5.449000000000002,87.10417332,288.96343184000006,0.16643126711999998
2.0842099999999997,2.844,75.934931128,284.27322280000016,0.2587725543999999
0.45883799999999997,2.282,88.742,38.634,0.261
0.020370000000000006,12.738,59.757,224.138,0.21
0.41033000000000003,4.081,75.93444768,284.31119488,0.25864332760000003
0.4850699999999999,3.02,75.93444768,284.31119488,0.25864332760000003
0.3307800000000001,4.053999999999999,75.93444768,284.31119488,0.25864332760000003
1.140768,1.9969999999999999,63.961999999999996,80.992,0.07200000000000001
0.677202,3.1569999999999996,1965.065,5.9639999999999995,0.059000000000000004
0.153309,5.042,2098.692,124.45,0.039
0.2778300000000001,9.982000000000003,2339.4396367999993,33.84781279999999,0.04605711895999999
0.20222999999999997,9.789,2337.914031200001,33.897920584000005,0.04595575330400001
0.4416,9.101000000000003,2337.914031200001,33.897920584000005,0.04595575330400001
0.37920000000000004,16.139,2337.914031200001,33.897920584000005,0.04595575330400001
1.377824,2.031,241.356,50.302,0.22399999999999998
0.837706,2.8680000000000008,99.78299999999999,29.772,0.046
0.0892,9.741,2340.6456391999996,34.027885903999994,0.04594729926399998
4.987008,1.306,2699.6105663999992,297.51423720000014,0.13107878232000011
7.880004,0.7449999999999999,2477.269,295.652,0.081
3.98055,2.127,2699.6105663999992,297.51423720000014,0.13107878232000011
5.62445,2.2,2699.6105663999992,297.51423720000014,0.13107878232000011
4.88665,0.997,2699.5525687999984,297.49766415999983,0.13108203803199997
4.84925,1.1179999999999999,2699.580536800001,297.54003688,0.13108418240000005
3.8828000000000005,1.24,2699.2909375999993,297.57794928,0.13111319576799998
0.48451499999999986,16.22,2399.377291999999,33.25009399999999,0.28073503744000006
0.7412399999999999,11.424000000000001,2399.377291999999,33.25009399999999,0.28073503744000006
0.6917399999999999,19.998,1612.531,3.0450000000000004,0.27
12.24508,0.429,1717.5299999999997,1.557,0.428
12.24508,0.429,1717.5299999999997,1.557,0.428
3.458133,1.791,122.872,274.981,0.39899999999999997
10.6516,0.9079999999999999,50.028,296.985,0.775
12.299294,1.0,671.035,146.653,0.6859999999999999
7.759232999999999,0.9470000000000001,101.644530472,211.50780024000002,0.5110969924800001
19.884051,1.4019999999999997,50.147,91.885,0.627
19.443474,1.3790000000000002,150.018,135.143,0.47700000000000004
3.5897879999999995,1.3760000000000001,100.669,11.17,0.012
3.5897879999999995,1.3760000000000001,100.669,11.17,0.012
2.294325,1.0090000000000001,2749.345,33.8,0.033
1.8963599999999996,2.7689999999999997,2047.487,12.929,0.02
2.2648919999999997,2.676,1815.5229999999997,47.644999999999996,0.177
4.763232,2.231,2528.7688104,19.735751968000002,0.030605472784
2.17525,2.3569999999999998,2699.7990000000004,25.44,0.07
1.6912619999999998,3.366,2066.012,53.989,0.034
2.443038,3.542,2789.224,26.497,0.026000000000000002
7.537044,1.5969999999999998,281.64,81.888,0.33399999999999996
7.537044,1.5969999999999998,281.64,81.888,0.33399999999999996
0.912963,1.0070000000000001,66.72399999999999,291.748,0.489
0.912963,1.0070000000000001,66.72399999999999,291.748,0.489
5.868016000000001,0.816,1603.5410000000002,1.565,0.433
5.868016000000001,0.816,1603.5410000000002,1.565,0.433
2.41824,1.091,1737.082,1.847,0.264
2.636587,0.9660000000000001,122.34100000000001,5.582000000000001,0.601
1.9827910000000002,4.619,2635.205,5.835,0.16699999999999998
1.9827910000000002,4.619,2635.205,5.835,0.16699999999999998
4.005,2.653,56.806000000000004,105.369,0.45
6.438931999999999,0.672,150.597,285.059,0.34700000000000003
6.438931999999999,0.672,150.597,285.059,0.34700000000000003
3.9546,0.5870000000000001,149.743,86.419,0.36
3.9546,0.5870000000000001,149.743,86.419,0.36
4.893283,1.3980000000000001,182.872,6.7829999999999995,0.19699999999999998
3.2996959999999995,3.145,50.113,160.99200000000002,0.542
1.048606,1.287,52.286,13.945,0.013000000000000001
10.291496,0.74,1845.6949999999997,1.546,0.40399999999999997
10.291496,0.74,1845.6949999999997,1.546,0.40399999999999997
2.334469,0.855,1737.556,31.156999999999996,0.19899999999999998
2.334469,0.855,1737.556,31.156999999999996,0.19899999999999998
0.9553200000000001,1.964,66.666,185.90099999999998,0.38
0.9553200000000001,1.964,66.666,185.90099999999998,0.38
1.920928,1.002,50.597,10.193999999999999,0.008
3.4195199999999994,0.7100000000000001,1873.4923362399998,29.86421616000001,0.31565770408000016
0.2694,0.812,2504.9533472,38.91252628800002,0.33976340671999994
5.2768,2.4290000000000003,2493.3521152000008,44.54277590400001,0.28781565776
0.5947039999999999,11.34,2375.968,64.045,0.248
1.432574,6.126,2473.302,57.321000000000005,0.28600000000000003
9.301394,1.41,2826.772,295.528,0.094
37.000667,0.7979999999999999,50.0,1.016,0.19899999999999998
8.46054,1.117,2716.6652655999983,272.61596832,0.18603663831999995
9.253997,0.496,59.028,29.388999999999996,0.001
0.4072079999999999,3.158,2769.188,23.855,0.012
0.7779199999999998,1.3679999999999999,80.48972537600001,289.4741175999999,0.1722289376
0.8983200000000002,0.804,79.14699999999999,261.209,0.228
0.69004,1.6280000000000001,80.48972537600001,289.4741175999999,0.1722289376
0.24076000000000003,5.593000000000001,79.610245248,287.6579171999999,0.16678065232
0.19584599999999996,5.434000000000001,86.037,56.901,0.021
0.02662,30.19,55.163000000000004,135.202,0.11
0.11771799999999999,2.977,294.168,5.113,0.142
1.177821,5.526,2332.700084,6.121733308800001,0.3339367712
3.3236730000000003,3.3040000000000003,2332.9272440000004,6.123501816800004,0.3339459303200001
1.164834,6.327000000000002,2332.8518184,6.122913267999998,0.33394287919999993
1.257741,0.964,2311.7260687999997,8.3220690696,0.4692918666399999
0.48965600000000004,1.254,1914.475,14.200999999999999,0.631
17.955026999999998,0.579,672.1480787999999,37.872367895999986,0.3974741327200002
3.2597369999999994,1.425,402.1056488799998,40.18648981600001,0.36883584616
4.694301,0.82,567.83941688,43.14526484,0.3753159863200002
3.000398,0.919,63.166999999999994,68.332,0.289
9.899091,0.596,107.93330731200001,204.09179423999993,0.3917770924
1.530468,1.3219999999999998,645.1373926399996,48.38017593600001,0.3448361905599999
0.514792,5.507000000000002,50.131,41.01499999999999,0.002
9.903711999999999,1.272,2255.176,5.608,0.532
14.599008000000001,1.399,301.595,1.381,0.732
7.889564,0.737,1693.318,5.984,0.7390000000000001
6.37479,0.5920000000000001,111.844,157.595,0.09
7.78603,0.8690000000000001,81.941,98.09200000000001,0.07
9.79776,0.609,2957.57,297.432,0.064
4.204717,1.058,126.038,259.108,0.40700000000000003
4.204717,1.058,126.038,259.108,0.40700000000000003
3.5361599999999993,0.9440000000000001,110.645,293.54900000000004,0.48
3.5361599999999993,0.9440000000000001,110.645,293.54900000000004,0.48
2.940684,0.753,158.861,150.66899999999998,0.49200000000000005
2.940684,0.753,158.861,150.66899999999998,0.49200000000000005
3.8485440000000004,0.877,124.823,266.312,0.414
3.8485440000000004,0.877,124.823,266.312,0.414
15.221226000000001,0.44799999999999995,2121.165,5.79,0.258
1.2458870000000002,1.2,50.12,1.269,0.43700000000000006
1.2458870000000002,1.2,50.12,1.269,0.43700000000000006
7.84265,1.395,2121.8920000000003,10.035,0.05
49.49382,0.8320000000000001,2315.2584096000014,5.786715505599999,0.40678614376000005
3.81184,0.58,2471.4574944000005,5.1356993176,0.44124250040000024
35.869911,0.866,50.047000000000004,1.024,0.539
2.59718,2.278,960.3350000000002,4.6419999999999995,0.284
1.135985,0.7070000000000001,2230.859,3.0189999999999997,0.335
0.2726,4.981,69.312,13.489,0.2
7.350189,1.203,2258.6479999999997,10.835,0.231
69.46621999999999,1.555,2059.735,23.454,0.157
0.35446800000000006,0.9790000000000001,482.691,61.06399999999999,0.218
0.36621200000000004,2.468,1795.661,16.176,0.308
0.36621200000000004,2.468,1795.661,16.176,0.308
0.5963359999999999,2.778,215.645,93.90100000000001,0.752
4.936022,5.216,2043.806,2.8310000000000004,0.091
4.936022,5.216,2043.806,2.8310000000000004,0.091
4.936022,5.216,2043.806,2.8310000000000004,0.091
4.936022,5.216,2043.806,2.8310000000000004,0.091
1.138844,3.072,132.05100000000002,27.677,0.623
1.138844,3.072,132.05100000000002,27.677,0.623
1.138844,3.072,132.05100000000002,27.677,0.623
6.1638720000000005,1.5390000000000001,58.073,9.705,0.052000000000000005
3.8804700000000003,1.831,51.95899999999999,162.10299999999998,0.165
0.5549609999999999,0.816,921.7234738399999,63.34518291199999,0.31032101936000017
0.39770999999999995,0.9109999999999998,921.7234738399999,63.34518291199999,0.31032101936000017
0.40182,0.9390000000000001,921.7234738399999,63.34518291199999,0.31032101936000017
0.4430399999999999,0.8540000000000001,921.7234738399999,63.34518291199999,0.31032101936000017
0.28188,2.739,921.7234738399999,63.34518291199999,0.31032101936000017
1.04616,2.788,806.8164504800001,58.150420695999976,0.29238835183999995
0.9453600000000002,3.258,806.8164504800001,58.150420695999976,0.29238835183999995
0.9004800000000001,2.762,806.8164504800001,58.150420695999976,0.29238835183999995
0.94484,3.639,806.8164504800001,58.150420695999976,0.29238835183999995
0.9727199999999999,3.0749999999999997,806.8164504800001,58.150420695999976,0.29238835183999995
0.79992,3.484,807.3440147199997,58.17239376,0.2923819850400002
1.04256,3.3939999999999992,806.2183403999998,58.141318488000024,0.29239768807999994
1.21104,2.966,806.8164504800001,58.150420695999976,0.29238835183999995
